"age_in_years" "PI" "FI" "AD" "FC" "IGC"
41.7824378571429 4.85714285714286 3.8 4 4.6 5
49.2814285714286 5 4.8 4 5 5
48.0576064285714 2.85714285714286 3.2 2.875 3.8 3.66666666666667
37.7824285714286 4 3 3.75 3.6 4.16666666666667
42.1657378571429 4.14285714285714 3.2 3.625 4.6 4.5
38.2396507142857 1.85714285714286 1 2.125 2 3.83333333333333
44.7530128571429 4.42857142857143 3.2 3.75 4 4.5
37.5880407142857 3.71428571428571 2.8 3.375 3.8 4.66666666666667
39.2937257142857 4.14285714285714 3.2 4 3.6 4.66666666666667
43.3211135714286 5 2.6 4.625 4.6 4.83333333333333
42.4395235714286 5 5 5 5 5
25.71943 3.42857142857143 3.8 4.5 4.8 5
44.0931892857143 2.71428571428571 2 3.5 4.4 4
51.6441992857143 3.85714285714286 3.2 4 3.6 4.33333333333333
48.3204407142857 2.71428571428571 2.6 3.75 4 4.33333333333333
30.5928157142857 3.28571428571429 3.8 3.875 3.6 4.66666666666667
26.6475635714286 2.85714285714286 2.8 4 3.4 4.16666666666667
34.5846114285714 5 4.4 4.875 4.2 4.5
26.4203214285714 2.85714285714286 2.8 3.375 3 3.66666666666667
34.4559321428571 4.28571428571429 3.2 4 4 4.83333333333333
52.5778085714286 4.85714285714286 2.6 4.42857142857143 3.8 5
51.2964914285714 4.28571428571429 2.8 3.75 3.6 4.83333333333333
23.2991642857143 5 3.8 5 4.8 4.83333333333333
49.7660292857143 3.71428571428571 1.2 4 2.4 4.5
21.407305 3.14285714285714 3 4.875 4.4 5
